ID,Title,Date,Tags,Goal Amount,Amount Raised,Difference,Success,Difference,Donors,Shares,Followers,Description
531,Keep Kitchen Arts & Letters Open,"Created September 16, 2020",Business & Entrepreneurs,100000,105266,5266,1,0,1200,1800,678,"Keep Kitchen Arts & Letters OpenFor 37 years at Kitchen Arts & Letters, we‰Ûªve loved being a unique resource: a bookstore devoted to the world of food and drink:. We've been here for professional cooks, home cooks, food writers, and anyone else who wanted to be part of that community.(Above: a scene from our annual clean-out event, where we sell old and damaged books cheaply to good homes. 50% of the money raised that way in past years has gone to Edible Schoolyard NYC.)Now,åÊ however, our survival is at risk, and we have to turn to you for help. Our usual sources of income‰ÛÓeveryday customers, major food conferences, restaurant chefs‰ÛÓhave all been dealt staggering blows. Without them, we‰Ûªre not coming close to paying our bills.We want to keep Kitchen Arts & Letters open. We want to keep bringing you the important, groundbreaking, and unusual books from home and abroad, and the personal service that tells you we love what we do here.We have a vision for going forward that builds on all we‰Ûªve been to our community through the decades. We‰Ûª want to become even more useful to food and drink people byåÊ making our website faster, easier to use, and a more complete reflection of our full inventory. We want expand our searches for books you won‰Ûªt find elsewhere. And we will continue to tightly control our costs.åÊBut to be brutally honest, without outside support we‰Ûªll have to close our doors in the near future.A bookstore run for and by people who really care about food and drink booksWhen we opened in 1983, store founder Nach Waxman greeted many people who poked their heads in, among them a man who looked around and declared, ‰ÛÏIt‰Ûªll never last,‰Û� then wished Nach good luck and left.But the store became a destination spot. Nach remembers Julia Child walking in, kicking off her shoes, and sitting down on the floor to inspect the contents of the French section.åÊWe became the place where you can find not only classics like Julia‰Ûªs books, but fascinating passion projects written by authors who self-published because they couldn‰Ûªt interest a big publishing house. The place to find books imported from England, France, Spain, Italy, Japan, Australia, Ecuador, and Argentina.Our basement‰ÛÓthe marvelous treasure-trove basement, from which Nach extracts countless out-of-print volumes, some to consult, some for sale‰ÛÓbecame a legend.And every day that we‰Ûªve been open, we‰Ûªve been helping people find the right books for their needs. Not necessarily the most popular or famous books, but the ones that matched someone‰Ûªs skills and ambitions.That‰Ûªs what‰Ûªs made these decades so satisfying. (Above: Visiting authors have included chefs like Massimo Bottura and Ferran AdriÌÊ)We‰Ûªre at a crisis pointThe pandemic hit New York City hard. Many of our core customers have been devastated by restaurant closings. In-store traffic stopped for many months and has only weakly revived as people have, rightly, remained cautious.åÊåÊWe‰Ûªve kept hoping there will be some dramatic improvement in our fortunes.åÊAnd now our lease has to be renewed. Nach and Matt agreed early on that the one thing we would not do is lay off our staff, two brilliantly talented and helpful part-timers who had already lost the incomes they made working in food service.But otherwise we‰Ûªve cut our costs as deeply as we can while retaining the character that has made us valuable. We can‰Ûªt cut more without ceasing to be Kitchen Arts & Letters.(Above: We're proud to have hosted authors such as Stella Parks and Andrea Nguyen, who brought food!)Please help us stay aliveWe want to remain the place you find the books you were always looking for, the place that has the books you never dreamed existed. We want to delight you with books signed right here in the store by your favorite authors. We want to do for you exactly what a specialist bookstore is supposed to do: connect you to an amazing, ever-growing world of first-rate books.We want you to be able to walk in the door and be immediately distracted by an offbeat new publication. We want you to visit and overhear a pastry chef from Japan talking to a food writer from Pennsylvania. We want to help you find a recipe for the stew that grandpa learned to make growing up in Poland but never wrote down.And we want to continue to send you news of great books, new and old, that deserve attention because of the work of extraordinary authors.So we‰Ûªre asking for whatever help you can give us to survive this crisis, endure in the idiosyncratic style that we‰Ûªve been known for, and evolve to be an even better resource for you. Financial support would be wonderful. So would be sharing the news of our campaign.And if we fail in this effort, please know that we‰Ûªre profoundly grateful for the amazing world we‰Ûªve been part of for all these decades. Food really does bring out the best in people and we‰Ûªve been privileged to see it in our friends and customers.Nach WaxmanFounding PartnerMatt SartwellManaging PartnerRead more"
532,support the deluxe town diner keep the doors open,"Created November 12, 2020",Business & Entrepreneurs,100000,104646,4646,1,0,1100,2100,602,"Our family owned diner has been serving Watertown area since 1947. The Covid19 pandemic has in big ways adversely impacted our business.We survived the 3 months doing take out only, and now it's necessary to ask for some help, ""TO KEEP THE DOORS OPEN.""åÊ Due to restrictions, we are only able to service, ""less than half of our customers.""åÊ We are asking our loyal customers and friends to donate and to also buy future food at the diner gift card.$100 cash payment, we will issue $110 in diner card to be used now and in the future, when we are back to the normal.All donations are grateful and appreciated, asåÊ well all the gift cards purchased.Thank you all, Don & Daryl."
533,"Join us and build a Black-led, regenerative farm!","Created June 28, 2020",Business & Entrepreneurs,125000,102094,-22906,0,0,1700,3700,1100,"My name is Kiley Clark and I come from a long line of farmers and earth workers, a legacy I am very proud of. My ancestors live on through me.I am a farmer, food advocate, chef, writer and photographer. I have been working in agriculture for the last five years, studying organic and sustainable farming practice and documenting the lives of farmers through my writing and photography. In 2019, I visited over 30 farms in five western states, listening to the stories and highlighting the experiences of farmers. With Black farm ownership at only 2% in the United States and with threats to agricultural systems and widespread food insecurity, now is the time to set forth on a dream I have been cultivating for the last decade. I am currently searching for land to start my own farm while writing and researching the challenges facing new and aspiring farmers, especially Black farmers.I have always dreamed of working on my own land. As a Black, queer, woman land ownership has felt evasive for much of my life, not having the capital or the generational wealth to make this possible. I want to build a dream together, founded on regenerative, no till practices and paying homage to the traditional ecology knowledge of my ancestors, and the land‰Ûªs original Indigenous caretakers. I am building seed fund to start a small scale farm, and I need your help. The seed money we raise will contribute to:- the down payment on a 3-10 acre property;- start up costs for farm equipment such as walk behind tractor, seeders, hand tools;- farm infrastructure such as irrigation, wash house and coolers.If possible, I would love to stay on the west coast where I have a large network of farm, restaurant and agricultural community.åÊ We are meeting with brokers and exploring different avenues throughout California, Oregon and Washington. Where ever we build, we will be contributing in monthly land tax and forging partnerships with Indigenous community. 2020 is the year!Why now? In this time of horrific pain and reckoning over systemic racism in this country, it is crucial to not just support Black people in our deaths. You must also support Black joy, uplift Black liberation and invest in Black-led organizations and entrepreneurs. The farm I am building will be a community hub, a place where Queer folx can get their hands in the dirt, where our communities can thrive, laugh, and be fed. We‰Ûªre building this dream together and I can't wait to welcome you all around my future farm table! Thank you for your love and support.Follow me at www.instagram.com/freshtofarming.(photo 1 & 4 by Sarah Deragon, www.portraitstothepeople.com)(photo 2 & 3 by Kiley Clark, @freshtofarming)Read more"
534,Help Rebuild a Black-Owned Minneapolis Clinic,"Created May 31, 2020",Business & Entrepreneurs,200000,100240,-99760,0,0,2100,1300,1500,"Healing Path Wellness Services was opened on December 1st 2018 in Minneapolis, Minnesota, 2 miles away from where George Floyd was murdered. We primarily serve refugees, immigrants, communities of color, youth and seniors. We provide mental health and wellness-based services such as cognitive behavioral therapy, family therapy, peer support groups, nutrition education programs, integrative health practice sessions and stretch therapy for seniors. Our staff are predominantly people of color; they consist of clinical social workers, licensed counselors, marriage and family therapists, and culturally-competent interpreters who reflect the diversity of the community of Minneapolis. The founder, Sulekha Ibrahim, is a public health nurse that has used her leadership role in developing culturally appropriate programs and strengthening initiatives for vulnerable and immigrant/refugee populations. Her vision is to expand the clinic to ensure that individuals from marginalized communities in South Minneapolis have access to resources, support, and opportunities to facilitate and improve their mental and physical well-being.On Friday May 28th, Healing Path Wellness Services was unfortunately vandalized and destroyed. The clinic suffered extensive fire and water damage. We are a Black-owned mental health clinic located in the heart of South Minneapolis providing culturally appropriate and accessible mental health and social services. Systemic racism, oppression and poverty affect our mental, emotional, physical and social wellbeing. We not only experienced this firsthand but witnessed its effects within our community. Our top priority is serving marginalized populations, our Minneapolis residents need our support! Our vision is to ensure the community has a safe space to be empowered and receive social services that increase their quality of life.In the wake of George Floyd's murder, our community has experienced devastating and traumatic events. As such, we are on the frontlines providing a space for people to seek therapy and healing during this hard time. We need to remain open to continue to provide services for the diverse residents and youth in the twin cities. We stand firmly with our community to demand justice. Our community needs us!åÊIn addition to rebuilding the clinic, the funds will be used for the expansion of services. Twelve of our employees rely on our clinic for their livelihood, we are collectively grieving this loss and our hearts are heavy for our community members and clients.We are truly grateful for your support and generosity! Please spread this around and help us REBUILD!Transparency is very important to us! åÊFor any questions or concerns regarding the clinic or the plans we have to rebuild, feel free to hit the contact button on our campaign page.Thank you!Link to our Facebook and contact info: https://www.facebook.com/healingpathwellnes/?ref=bookmarks#BLM #justiceforgeorgefloydåÊ #minneapolisåÊ #lakestreet #minorityownedbusiness #blackownedåÊWebsite: https://healingpathwellnessmn.comRead more"
535,Saigon Bay Vietnamese Restaurant - Tampa,"Created May 31, 2020",Business & Entrepreneurs,80000,95932,15932,1,0,2900,28000,16800,"TheåÊ business owners of Saigon Bay Vietnamese Restaurant are grateful to the community for any funds they receive.åÊOn May 30th, 2020 protests for the brutal death of George Floyd by a white police officer in MN started peacefully on Fowler Avenue in Tampa, FL.By nightfall, riots started with looting and burning of buildings. Rioters set fire to Champs adjacent to Saigon Bay Vietnamese Restaurant. Both buildings (connected in a strip mall) were destroyed/damaged severely.åÊPlease donate to Thanh Son and åÊSavy Lam: owners of Saigon Bay Vietnamese Restaurant on Fowler Avenue in Tampa, FL. This business is their livelihood to support a multi-generational family! They did not deserve this setback. They are so kind, welcoming, and inclusive to everyone. Please support them during this time.åÊAll donations will go directly to Thanh and Savy to support their restaurant. Thank you in advance!åÊTampa Bay Times interview with Saigon Bay ownersåÊåÊHere is a video that Tra Son, Ricky‰Ûªs cousin, made in loving memory of Saigon Bay:Read more"
536,The 8x10 live music venue COVID relief,"Created October 26, 2020",Business & Entrepreneurs,100000,95738,-4262,0,0,1400,10000,782,"Unfortunately, it has come to this. The 8x10 needs your help.For those that don‰Ûªt know about The 8x10, we are a live music venue in Baltimore, Md. Under various owners, the location in Federal Hill neighborhood has been providing a home for live music since 1983. My wife Abigail Janssens and myself, Brian Shupe have owned and operated it since 2005.The 8x10 is legendary for its intimacy, its pristine sound, and most of all, its rabid and fiercely loyal fanbase. We get told all the time by bands that we are their favorite venue east of the Mississippi. We have poured our souls into the venue to live up to those standards and provide a fertile ground for bands and audiences to connect seamlessly.The 8x10 shut its doors on March 13th 2020 and has been dark ever since. Being an entertainment venue, we are going to be the last industry to recover. While bars and restaurants have been open for several months, we just have been permitted to open at 25% capacity.The problem breaks down into two main issues. Safety and Revenue.SAFETY ISSUESThe last thing we are going to do is create a situation where our family of customers, bands, and employees get sick. We have been going back and forth about when would it be safe to open, when the outbreak at The White House happened, that put everything into perspective. How fast it spread, How many people were infected from one little gathering. And that was outdoors. The 8x10 is a small venue. There is hardly any way to socially distance. Even with lower capacity, masks, temperature checks, if someone unknowingly came to a show, The 8x10 would be a super spreader. We couldn‰Ûªt live with that.REVENUE ISSUESRight now we can open at 25% capacity. Do I want to put my staff at risk of bringing home COVID-19 to their children or elderly parents for 25% of their usual tips? Our doorman is going to have to interact with every single patron multiple times a night, what kind of risk is that? But that isn‰Ûªt even the tip of the iceberg. Where are we going to get bands? Bands aren‰Ûªt touring yet out of fear and simply not being able to find enough venues that are allowed to open. Is a band that usually plays to 300 people and makes a couple thousand dollars going to be able to cover the exact same expenses from 25% of their normal ticket sales? And are you the public going to risk coming to shows? What should we do? Should we start charging four times as much for the tickets to make up the difference? We just can‰Ûªt stomach charging $60 to our faithful patrons for the same show they normally pay $15 to attend. There are no easy answers.COST OF DOING BUSINESSMeanwhile, we are still paying our expenses to the tune of $15,000 a month. Our rent alone is $10k a month. Every month. Our landlord has been very generous to offer us some relief and has promised us he will do everything he can to ensure The 8x10 survives this, but he is struggling too. The 8x10 is all about doing the right thing, and we can‰Ûªt run out on our commitment to him or any of our other vendors and monthly responsibilities. Rent, Gas & Electric, Insurance, Telephone, Internet, yada yada yada.We were lucky. We got an emergency relief loan through the government and we have been able to meet our responsibilities up to now. And we can still make it but probably only to the end of the year. But this is a loan, not a grant. It is not a forgivable package, but a loan. That means after working so hard and struggling to serve the community for 15 years, once we had finally pulled our head above water, COVID-19 struck and derailed our retirement plans and now were are once again in debt. The $150,000 dollars that has been keeping The 8x10 from bankruptcy is going to have to be repaid and it is going to come out of Abigail‰Ûªs and my pocket. It‰Ûªs the cost of doing business and we know it. But the government is not helping our industry. Live music venues, movie theaters, theaters for plays and musicals are all suffering the most and going to be the last industry to recover. Since there is no second round of loans or aid on the horizon, it has come to this. We have to turn to the people that come to, and play at The 8x10 for help.We hate the fact that we are asking for charity, but if comes down to begging or letting The 8x10 disappear due to some pandemic‰Û_We have no pride. We will do whatever it takes to keep The 8x10 alive for our community of music lovers. There is no shame in that. If there was another way, believe me we would be doing it.OUR GOALHonestly, we know 2020 has been a screw job on everybody and finances are tough for everyone. We are just hoping that Many Hands Make Light Work. There have been hundreds of thousands of people that have come through the doors of The 8x10. If we can spread the financial burden of keeping The 8x10 solvent over all the people who have come and had their minds blown by the magic coming off the stage, celebrated with their friends a marriage, birth, promotion, birthday, or just that it is a Friday night. If we can spread it out over the thousands of bands that have played there over the years and told us how much they love The 8x10. If everyone who has ever been touched by what The 8x10 does can just donate what they can afford then the burden won‰Ûªt seem so heavy.Our bare minimum goal would be to put six more months of expenses into savings. Maybe just maybe by then we will have a vaccine or some semblance of our normal lives back. But in March we were sure it would be over by June. In August we were saying it has to be better by October, yet nothing has changed.Whatever we can raise we will be grateful for. I can tell you that every cent of the money will go to expenses at The 8x10 first and foremost. If by some miracle we are able to open soon, 100% of the remainder of the money will go to paying back the $150k loan.åÊ We need your help. We need you to spread this website to every person you know. Do you have a contact with any of the big bands that played The 8x10 back when they were coming up? Send them a link, ask them to give back if they can. Do you have a contact with a music magazine or online community? Represent for us and tell them what we stand for and ask if they can throw us a few.Please, please know that we are only asking for you to give an amount that makes sense for your situation. Every donation will add up, so please don‰Ûªt try and be a hero and end up putting strain on your situation.This is such a horrible situation. We have put 15 years of our blood, sweat, tears, and love into The 8x10. And you have put the same effort into coming and supporting us by seeing show after show. None of us want The 8x10 to go under.Read more"
537,Uncle Bobbie's #WeStillHere,"Created March 21, 2020",Business & Entrepreneurs,50000,95254,45254,1,1,2100,1700,1500,"Since we were forced to close our doors due to the Coronavirus pandemic, it has been incredibly challenging. Our amazing staff is unable to earn income, and we‰Ûªre set to lose more than half our projected sales for March so we are unable to pay our bills.However, throughout all of the madness, we have received so much love and it‰Ûªs great to know that so many people have our back. A lot of you have asked how you can donate and support Uncle Bobbie‰Ûªs during this time so we are raising money here to help weather the storm.Because we don‰Ûªt know how long this will last or if we will get support elsewhere, we are setting our initial goal of $25,000 ‰Û_ but we would love to double that goal! (We recently increased our goal due to the extended period of social distancing guidelines.)Here‰Ûªs how your generous donations will be prioritized:- Immediate relief for our staff- Paying our vendors (many of which are small businesses themselves)- Paying other bills (rent, insurance, etc.)Any amount will be greatly appreciated. You all mean so much to The Uncle Bobbie‰Ûªs Team and we will continue to represent you all in the best way that we know how.#WeStillHere#SmallBusinessReliefRead more"
538,Olmsted & Maison Yaki Staff Disaster Relief Fund,"Created March 18, 2020",Business & Entrepreneurs,200000,91855,-108145,0,0,784,429,436,"Olmsted & Maison Yaki have been the projects of a life time for us.The support we have received over these near four years from our community, industry, and media have been life altering.And then over the last few days we were forced to layoff our entire staff, almost 70 employees.These are the people that make Olmsted & Maison Yaki what they are.Unemployment benefits are sub-minimum wage.Please help us to support them with disaster relief that is no where to be found from our government, as of now.All contributions over $100 will receive a free ticket to our Re-Opening Celebration, date TBD of course.100% of the proceeds will go to our staff.With Love,åÊMax, Greg, & MikeRead more"
539,Save The Kettle,"Created June 27, 2020",Business & Entrepreneurs,100000,91400,-8600,0,0,1100,4400,606,"Like many small neighborhood bars in New York City, we have been closed for over 3 months due to the COVID 19 pandemic. With full reopening still to come at a very limited capacity, we are asking for your support as we navigate this uncertain future and try to keep our doors open.åÊEstablished in 1950, the Kettle of Fish has a literary history as being the local watering hole for Beat writers including Jack Kerouac, musicians including Bob Dylan, and eclectic Greenwich Village artists and bohemians. Originally opened on MacDougal Street, the Kettle moved twice and just celebrated its 70th birthday on June 8th, with 21 years in the heart of Greenwich Village at 59 Christopher Street.åÊKettle of Fish is also a globally known destination bar for visitors to watch Green Bay Packers football games, so much so that Packers Quarterback Aaron Rodgers paid an off-season visit in 2019, and previously other Packer greats such as Jerry Kramer, John Brockington, and Dave Robinson have stopped by for games, camaraderie, and meet-and-greets. With boisterous group singing, Usinger‰Ûªs brats, and a group of passionate gameday regulars, it‰Ûªs a unique experience.Whether you are looking for a place to grab a pint and read on an afternoon, meet up with friends for a few after a long week, or just Wisconsin sports fans watching the Badgers, Brewers, or Bucks (oh my!), all are welcome at the Kettle of Fish. The cultural significance of the Kettle of Fish in this historic district, and on this street in particular, exemplifies New York City‰Ûªs dedication to diversity in all forms. With iconic Greenwich Village institutions in danger of disappearing due to this pandemic, we ask our fans, friends and community to help keep us here for years to come!åÊAnother way you can help is to spread the message! Please share this on social media using the hashtag #savethekettle.Read more"
540,Save The Abyss Metalbar in Gothenburg,"Created April 8, 2020",Business & Entrepreneurs,280000,101637,-178363,0,0,217,2700,66,"History: The Abyss was founded on the 17th of June in 2016. Gothenburg, Sweden‰Ûªs ‰ÛÏmetal capital‰Û�, finally had a real, genuine, heavy metal bar that lived up to the city‰Ûªs metal legacy. A bar and live venue by metalheadsfor metalheads (and for anyone else with curiosity and an open mind). The reputation of The Abyss quickly spread; first in Sweden, then Europe and beyond throughout the rest of the world. Praised both nationally and internationally for its authenticity and heart, unique atmosphere and its truly dedicated staff. It has not been smooth sailing all the way though; like all new businesses the baby steps were a bit rough. A successful fundraiser festival not only showed the love and support that both bands and fans had for The Abyss and it was the start of the now legendary The Abyss Festival. The majority of profits from the bar went straight back into the bar and into the second (and third) edition of the festival. In November of 2018 Maya and her crew were forced to buy the place to stay alive. Massive debts due to necessary loans followed. Still things were slowly looking brighter and music loving rockers from all over rejoiced over the fact that it seemed like The Abyss were here to stay. 2020: Present day. The Covid-19 pandemic has not only taken lives, created paranoia and panic, it has also devastated the bar and music venue scene all around the world. The Abyss is also critically affected by it and is now on the very brink of extinction. Lots of customers (even healthy young ones) have stayed away in self-quarantine and the income has plummeted. Currently they earn in one whole week what they normally made in in one busy Friday or Saturday night before the outbreak. The government of Sweden has been hinting at issuing some financial aid for small businesses but it will be too little too late at this rate. This situation is especially disastrous since The Abyss pays invoices retroactively; invoices from before the pandemic outbreak has to be paid with the next to no earnings they get now. The Future: The Abyss‰Ûª dire situation is unfortunately not unique in these trying times...but The Abyss‰Ûª existence in itself is unique, and together we can help to keep it that way. So if you feel heavyhearted by the thought of Gothenburg without The Abyss, if you‰Ûªve ever visited a great show there, if you‰Ûªve ever had a really good time there or if you want to visit in the future but haven‰Ûªt had the chance yet; please lend them a hand. No amount of help is too small; every donation no matter what size is felt deeply in the hearts of The Abyss‰Ûª crew. ‰ÛÏUnited, united, united we stand United we never shall fall United, united, united we stand United we stand one and all.‰Û� Judas Priest - Mathias LarssonRead more"
541,ChicagoLakeDental,"Created May 31, 2020",Business & Entrepreneurs,200000,88920,-111080,0,0,1100,4300,607,"In the early hours of Saturday morning, Dr. Ali Barbarawi, the owner of Chicago Lake Family dental, watched the surveillance footage of his clinic as it was looted. Shortly after, he watched rioters broke into it again and burned it to the rubbles. He watched until the cameras burned and the feed stopped.åÊ Chicago Lake Family Dental had been eagerly gearing up to open its doors to patients once again after the COVID-19 stay at home orders.Now the office is facing a new and bigger challenge. Dr. Ali opened his clinic in this location, in the heart of South Minneapolis, because he wanted to serve the neighborhood. Dr. Ali and his wife have two beautiful young daughters, and he was passionate about ensuring that other children had the same access to quality care as his daughters. His clinic had a dedicated kid‰Ûªs play area, that he created to help kids not only get access to quality care, but to make the experience of visiting the dentist an enjoyable one. The clinic is one of a handful of critical access dental providers in the southside community, providing dental care for undeserved, underprivileged, children and uninsured patients. The surrounding community will suffer with the loss of this community resource, as access to affordable dental care is already a challenge for many in urban and underprivileged areas like this one. Donations will be used to help the dental staff and their families, as they are now without jobs, and will be used to rebuild the clinic as soon as possible, so that they can get back to work in serving the community. Please show those who want to destroy our great city and its resources that they won‰Ûªt win.åÊ Dr. Ali is very grateful and humbled by the support shown so far. Many volunteers have shown up and helped with cleaning, and the generous financial donations are incredibly helpful and appreciated during this time.åÊ Thank you!Click on or copy the link and paste it in your browser to watch the office coverage by CBS News at 2:44:https://www.cbsnews.com/video/authorities-suspect-white-supremacists-and-far-left-extremists-are-behind-violence-at-protests/%23x""> https://www.cbsnews.com/video/authorities-suspect-white-supremacists-and-far-left-extremists-are-behind-violence-at-protests/#xhttps://www.cbsnews.com/video/authorities-suspect-white-supremacists-and-far-left-extremists-are-behind-violence-at-protests/#xDr. Barbarawi's interview by Fox News: https://news.yahoo.com/minneapolis-dental-clinic-picked-clean-123721383.htmlVisit us at: https://www.chicagolakedental.com/Read more"
542,Honeysuckle Community Center,"Created July 25, 2020",Business & Entrepreneurs,250000,88248,-161752,0,0,1100,566,600,"Omar Tate, a Philadelphia-based artist and chef. I‰Ûªm raising funding for Honeysuckle, a multifaceted community center where Black food puts its flag on a plate and stakes a claim for space in America‰ÛÓbecause America won‰Ûªt acknowledge and give it that space.I‰Ûªm seeking to raise $250,000 for a space that will ideally be located in the Mantua section of West Philadelphia, where the average cost of a commercial property hovers around $180,000. The remaining funds will be used for staff, repairs, equipment, and beautification of the space to open in early 2022.The Honeysuckle community center will include a grocery, meat market, cafe library, and supper club. Food spaces need to be reinvented to serve more than good food. Honeysuckle will use history, the arts, education, agriculture, commerce, and food to pursue its mission.All supporters will receive a gift of unique art as a token of gratitude for your investment in the future of Honeysuckle. If you contribute $100 or more to this project, you will receive a Honeysuckle bean pie in the mail. Why a bean pie? I grew up muslim, initially under the teachings of The Nation of Islam. The Nation of Islam sold bean pies to help raise funds for the organization as well as to spark dialogue about who we are as African Americans post-Jim Crow. The bean pie is a representation of a new cultural identity, a new narrative, and a new line of thought.The project will not only engage with the community but also build and grow into the fabric of the community already established in West Philadelphia for generations to come. I will employ its residents, share a collective wealth, and create and display art that represents us, resulting in being seen as human and powerful. To be allowed to own our destiny.Honeysuckle is a continuation of my grandpa James Jamison‰Ûªs legacy of community activism. In the 1970s, Grandpa James came home from the Vietnam War and opened a community center in South Philadelphia that promoted the arts and taught and fed the neighborhood‰Ûªs children. It never realized its full potential due to racial tensions in the city at the time.åÊWith your support, I intend to bring his and my dream to full fruition by creating a place that nourishes the community, where neighbors can meet and bond over food.Thank you.PRESS""Mr. Tate ... quilts cultural history and his own memories into a celebration of the Black American past."" - The New York TimesåÊ""Before COVID-19, Omar Tate opened a portal to Blackness with his lauded pop-up Honeysuckle. Now he's back home in Philly, searching for solutions."" - EsquireåÊ""His immersive pop-ups explore the nuance and expanse of American blackness through poetry, food, and music."" -The Philadelphia InquireråÊI'm raising funding for a community center where Black food can put its flag on a plate. (photo by Haamza Edwards)Honeysuckle will be in West Philadelphia, where I grew up. (photo by Haamza Edwards)Honeysuckle will preserve and teach time-honored traditions such as pit cooking. (photo by Haamza Edwards)Over the past few years, I have operated the Honeysuckle Pop-Up, a series of dinners that bring together food, art, and the Black experience. (photo by Clay Williams)A menu from the Honeysuckle Pop-Up in New York City. (photo by Clay Williams)My grandpa James's community center in the early 1970s.A bean pie. If you support with a $100 contribution or more, I'll send you one.The Honeysuckle logo.Read more"
543,Tuft Barbershop Relief Fund,"Created March 27, 2020",Business & Entrepreneurs,75000,86965,11965,1,0,858,813,483,"Dear Tuft Family,We hope this finds you safe and healthy under these unprecedented and trying circumstances.åÊåÊYou're likely being inundated with messages related to the confusing nature of these times, so we apologize in advance for yet another one, but because we center ourselves around all of you as our community, we felt it was necessary to share some upsetting news.åÊ Our Founder, Miles Martinez, has tested positive with a very serious case of COVID-19.åÊ He has been in the hospital for the past 13 days,åÊ the last five of which he has been in the ICU on a ventilator in a medically induced coma. We are hopeful that Miles will make a full recovery, and ask that you please keep him in your prayers.åÊDue to Miles‰Ûª condition, our size, and the nature of the barbershop business, times are tough, especially for our barbers who so passionately dedicate themselves to our shop daily. We are doing what we can to support them, so we‰Ûªd like to ask you - our family, our community - to consider donating your usual haircut cost (or more!) to our #gofundme campaign. Your contributions will help our shop, our barbers, Miles and our community get through this very unusual and trying time.The majority of the proceeds will go towards our barbers and the shop‰Ûªs upkeep.åÊ Our connection with you has been the driving force behind our existence since we opened up shop. While we miss seeing all of you,åÊwe hope you will continue to practice social distancing and stay as safe as possible until this crisis has passed.åÊThank you for your continued support and we look forward to better days with you soon!The Tuft FamilyRead more"
544,Friends of Rainy Day Books,"Created April 11, 2020",Business & Entrepreneurs,280000,86476,-193524,0,0,1200,5200,678,"Dear Friends of Rainy Day Books,One month ago, Roger locked the front door and we began an operation unlike any other we have ever attempted in our lifetimes. With many of our staff at risk for COVID-19, we have been working with a tirelessly dedicated skeleton crew to continue to provide a literary lifeline to Kansas City and beyond. Taunda, Peggy and Cate have helped us process the orders flowing into our store through our web site and phone. Our son Geoffrey is working remotely to help move your orders through our supply chain. Our granddaughter Madeline delivered us treats to keep the crew happy. Our granddaughters Faith and Ashle helped with Social Media. Our grandson Aidan volunteered to start limited deliveries for us, to speed up our efforts. Our daughter Alison and our granddaughter Halle get a special acknowledgment for working on the front lines across the street at KU Cancer Center. It is a family effort, we believe in our community.The number of messages of support from you are inspiring and deeply heartfelt. We have been so busy answering the phones and packaging books that we have barely had time to respond to even a fraction of your messages, but please know that we hear you. Many, many of you have asked if there is some other way to help.This week‰Ûªs message to you is one of hope and determination.We have been working seven days a week to keep the flow of books moving. These have been very long days, but we recognize that our community needs to keep reading, keep talking, stay together in mind, body, and spirit. We will get through this, even though difficult months lie ahead.Rainy Day Books is known all over the world for our ‰ÛÏgold standard‰Û� author events. Thousands of author guests have brought their stories to Kansas City. In just the last ten years, over 500,000 of you have attended one of our author events. We are in discussions each week about future events for fall (so many big names now!), but we know that social distancing and time constraints will not permit us to restart our live event schedule until early September. This represents a six month shortfall in revenue for our business. In addition, our school and corporate business is a fraction of what it once was.There are also long term trends that the present crisis may impact our operation more than we anticipate. We are unsure about the ability of our community to continue to buy books in the long run. While we are ready to resume full operations as soon as we have permission to do so, the safety and well-being of our staff and customers mandates that we proceed with an abundance of caution. It may take several months before our store returns as the hub of social connection that it has always been.åÊWhile we are actively seeking assistance that may be available to small business, our advisors have told us not to completely rely on these programs coming through in time or at the level we would need to sustain our operations.Our landlord is in Bethesda, Maryland. The Fairway Shops are one of many properties that they own across the country, and we anticipate that they are unable to offer us assistance at this time.Today we launch a fundraising campaign on GoFundMe. This campaign is to assist the store with funding short-term gaps in operational expenses and long-term efforts to continue our business, especially our author events series. Our goal is to raise $280,000. Our campaign is based on the worst case scenario provided by our advisors. All funds raised will be used to support our staff, reduce outstanding liabilities, and provide additional help for operational costs. Any support you give is an expression of hope.We miss you all. We miss our family and friends. We miss our community.To our local friends, author friends, media friends, all friends of Rainy Day Books: we are totally committed to our legacy of literacy. We are not as active on social media as many of our bookselling peers because we are active 24/7 with our face-to-face work. Anything you can do to help us spread the word about our operation right now is welcome. We now need you to help us tell our story. Please tell the world that we are working seven days a week to keep the books coming. Please tell the world that every order placed online or by phone matters. Please tell the world that Rainy Day Books wants to and is ready to reopen the door, as soon as it is safe to do so.Today we ask you: If you have ever had a memorable moment at one of our author events, if one of our staff ever recommended a book that changed your life, or if the story of our bookstore ever inspired you to do something special; please help us continue. Even if you are not able to make a financial contribution, you can help us spread this message.We are grateful for each day, and we hope to continue for many more days.We believe in our Legacy of Literacy. We will continue to keep working. On November 4, 2020 we will celebrate 45 years of storytelling, and we hope you will all join us in celebration. Millions of books sold, many more lives transformed.With love and gratitude,Vivien & RogerRead more"
